Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
1.5925	17.0
1.595	12.7
1.5975	2.5
1.6	15.7
1.6025	15.1
1.605	12.3
1.6075	24.7
1.61	22.6
1.6125	20.5
1.615	14.5
1.6175	22.0
1.62	18.1
1.6225	8.7
1.625	16.1
1.6275	21.1
1.63	16.1
1.6325	6.9
1.635	6.6
1.6375	14.5
1.64	19.4
1.6425	20.8
1.645	16.0
1.6475	11.5
1.65	24.0
1.6525	29.9
1.655	19.8
1.6575	23.4
1.66	31.2
1.6625	25.5
1.665	14.1
1.6675	10.7
1.67	17.6
1.6725	22.9
1.675	20.7
1.6775	25.1
1.68	33.8
1.6825	31.3
1.685	31.0
1.6875	27.6
1.69	24.1
1.6925	16.0
1.695	21.7
1.6975	25.6
1.7	7.9
1.7025	8.2
1.705	14.0
1.7075	15.4
1.71	17.3
1.7125	17.1
1.715	13.9
1.7175	5.8
1.72	6.2
1.7225	11.6
1.725	13.0
1.7275	12.7
1.73	13.2
1.7325	5.0
1.735	-0.9
1.7375	4.3
1.74	5.7
1.7425	14.0
1.745	16.2
1.7475	15.8
1.75	19.8
1.7525	10.2
1.755	4.3
1.7575	12.5
1.76	11.8
1.7625	1.3
1.765	3.5
1.7675	9.0
1.77	6.1
1.7725	5.0
1.775	2.3
1.7775	0.3
1.78	-5.6
1.7825	-3.3
1.785	-0.2
1.7875	1.9
1.79	9.9
1.7925	7.6
1.795	18.6
1.7975	16.8
1.8	-7.3
1.8025	-6.8
1.805	-9.4
1.8075	-9.9
1.81	2.0
1.8125	2.5
1.815	1.0
1.8175	6.0
1.82	8.5
1.8225	1.9
1.825	3.0
1.8275	2.6
1.83	-5.0
1.8325	-2.0
1.835	1.6
1.8375	6.4
1.84	9.1
1.8425	9.1
1.845	12.1
1.8475	11.8
1.85	8.2
1.8525	3.6
1.855	11.4
1.8575	23.1
1.86	7.8
1.8625	-3.1
1.865	12.4
1.8675	5.3
1.87	-5.3
1.8725	-6.9
1.875	-7.4
1.8775	15.2
1.88	16.8
1.8825	4.6
1.885	7.4
1.8875	12.3
1.89	5.8
1.8925	3.1
1.895	11.8
1.8975	7.2
1.9	0.5
1.9025	3.1
1.905	5.7
1.9075	9.0
1.91	12.5
1.9125	2.5
1.915	1.5
1.9175	17.4
1.92	14.0
1.9225	-2.9
1.925	-5.9
1.9275	-5.2
1.93	-7.5
1.9325	-6.2
1.935	-4.5
1.9375	-3.7
1.94	-0.3
1.9425	-1.0
1.945	-5.5
1.9475	-3.9
1.95	-5.6
1.9525	-2.3
1.955	1.5
1.9575	-11.9
1.96	-3.5
1.9625	7.3
1.965	-7.5
1.9675	-12.0
1.97	5.5
1.9725	7.0
1.975	-8.3
1.9775	-6.4
1.98	-7.0
1.9825	4.5
1.985	23.1
1.9875	9.5
1.99	0.8
1.9925	2.6
1.995	11.0
1.9975	18.3
2	5.2
2.0025	-8.6
2.005	-3.9
2.0075	0.6
2.01	-5.4
2.0125	-4.5
2.015	-1.5
2.0175	-5.7
2.02	-6.8
2.0225	-3.2
2.025	2.0
2.0275	-2.9
2.03	-5.0
2.0325	-1.3
2.035	-6.2
2.0375	-0.4
2.04	4.2
2.0425	16.6
2.045	24.3
2.0475	16.7
2.05	11.4
2.0525	8.7
2.055	20.6
2.0575	29.5
2.06	35.6
2.0625	22.5
2.065	12.2
2.0675	12.9
2.07	6.4
2.0725	17.4
2.075	9.3
2.0775	4.3
2.08	12.8
2.0825	3.2
2.085	2.5
2.0875	0.3
2.09	7.3
2.0925	10.3
2.095	9.8
2.0975	12.0
2.1	8.0
2.1025	16.8
2.105	11.0
2.1075	9.6
2.11	26.2
2.1125	22.0
2.115	7.7
2.1175	6.4
2.12	15.1
2.1225	11.8
2.125	7.5
2.1275	12.6
2.13	21.0
2.1325	16.8
2.135	12.6
2.1375	8.6
2.14	5.6
2.1425	16.4
2.145	10.6
2.1475	10.1
2.15	15.4
2.1525	11.6
2.155	7.3
2.1575	14.6
2.16	17.2
2.1625	11.4
2.165	22.5
2.1675	15.3
2.17	12.2
2.1725	23.4
2.175	25.1
2.1775	36.5
2.18	28.3
2.1825	15.1
2.185	12.1
2.1875	10.5
2.19	9.6
2.1925	4.3
2.195	1.1
2.1975	-6.7
2.2	-8.4
2.2025	-2.8
2.205	1.2
2.2075	0.5
2.21	-1.0
2.2125	-8.2
2.215	-11.6
2.2175	2.1
2.22	1.9
2.2225	-6.3
2.225	-4.2
2.2275	-4.6
