Interval=	0.0025 s
ExcelDateTime=	4.4991637778096825e+004	3/6/2023 15:18:24.027566
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
1.965	11.1
1.9675	20.4
1.97	20.3
1.9725	17.9
1.975	20.5
1.9775	18.8
1.98	16.0
1.9825	16.4
1.985	11.3
1.9875	3.6
1.99	1.9
1.9925	-3.3
1.995	-6.5
1.9975	-10.2
2	-21.9
2.0025	-24.1
2.005	-19.4
2.0075	-25.6
2.01	-32.3
2.0125	-12.3
2.015	-7.6
2.0175	-26.1
2.02	-23.3
2.0225	-8.0
2.025	0.2
2.0275	-2.5
2.03	-7.7
2.0325	4.2
2.035	13.2
2.0375	11.6
2.04	21.2
2.0425	25.6
2.045	25.7
2.0475	23.7
2.05	27.4
2.0525	27.9
2.055	18.6
2.0575	23.0
2.06	21.5
2.0625	21.7
2.065	23.2
2.0675	12.2
2.07	13.2
2.0725	6.5
2.075	-0.7
2.0775	-0.1
2.08	-5.9
2.0825	-3.9
2.085	-1.1
2.0875	-10.2
2.09	-10.9
2.0925	-13.3
2.095	-20.1
2.0975	-27.5
2.1	-28.1
2.1025	-20.4
2.105	-12.8
2.1075	-15.7
2.11	-19.0
2.1125	-4.8
2.115	-3.2
2.1175	1.7
2.12	7.3
2.1225	12.5
2.125	22.9
2.1275	17.0
2.13	19.7
2.1325	21.7
2.135	20.6
2.1375	25.2
2.14	18.5
2.1425	10.9
2.145	14.5
2.1475	24.2
2.15	24.9
2.1525	5.1
2.155	-9.8
2.1575	-12.5
2.16	-9.2
2.1625	-8.2
2.165	-9.8
2.1675	-13.2
2.17	-23.4
2.1725	-27.4
2.175	-27.6
2.1775	-26.8
2.18	-19.4
2.1825	-21.0
2.185	-35.6
2.1875	-39.8
2.19	-32.6
2.1925	-29.5
2.195	-28.3
2.1975	-29.4
2.2	-26.1
2.2025	-25.4
2.205	-19.7
2.2075	-5.5
2.21	-2.8
2.2125	3.3
2.215	11.8
2.2175	9.0
2.22	9.7
2.2225	19.1
2.225	30.2
2.2275	26.1
2.23	6.8
2.2325	-3.7
2.235	2.8
2.2375	2.5
2.24	8.7
2.2425	-1.9
2.245	-18.3
2.2475	-14.6
2.25	-16.3
2.2525	-19.6
2.255	-21.3
2.2575	-22.8
2.26	-20.5
2.2625	-19.4
2.265	-17.5
2.2675	-18.8
2.27	-28.3
2.2725	-35.1
2.275	-39.0
2.2775	-36.2
2.28	-37.5
2.2825	-36.3
2.285	-33.9
2.2875	-27.9
2.29	-24.6
2.2925	-16.8
2.295	-8.6
2.2975	-10.3
2.3	2.7
2.3025	9.8
2.305	13.9
2.3075	15.7
2.31	12.0
2.3125	14.1
2.315	16.1
2.3175	24.2
2.32	23.0
2.3225	17.4
2.325	8.1
2.3275	-3.7
2.33	4.2
2.3325	2.8
2.335	-12.4
2.3375	-7.3
2.34	-2.2
2.3425	-7.8
2.345	-17.1
2.3475	-26.7
2.35	-30.7
2.3525	-32.6
2.355	-35.4
2.3575	-36.8
2.36	-32.8
2.3625	-30.9
2.365	-34.4
2.3675	-33.9
2.37	-27.1
2.3725	-18.2
2.375	-15.3
2.3775	-7.1
2.38	-6.6
2.3825	-6.9
2.385	7.5
2.3875	12.5
2.39	14.8
2.3925	16.0
2.395	15.2
2.3975	12.3
2.4	10.9
2.4025	15.4
2.405	19.0
2.4075	17.2
2.41	9.4
2.4125	2.4
2.415	-4.5
2.4175	-2.2
2.42	5.7
2.4225	10.4
2.425	9.2
2.4275	-0.9
2.43	-3.2
2.4325	-8.6
2.435	-17.2
2.4375	-15.7
2.44	-11.5
2.4425	-2.9
2.445	-8.2
2.4475	-18.9
2.45	-21.2
2.4525	-17.4
2.455	-9.9
2.4575	-1.9
2.46	3.9
2.4625	5.7
2.465	11.5
2.4675	20.6
2.47	37.0
2.4725	37.2
2.475	39.0
2.4775	54.2
2.48	50.2
2.4825	38.3
2.485	40.2
2.4875	42.9
2.49	40.3
2.4925	41.7
2.495	37.1
2.4975	37.4
2.5	39.6
2.5025	37.4
2.505	26.7
2.5075	17.4
2.51	13.9
2.5125	-0.3
2.515	-8.7
2.5175	-8.2
2.52	-4.6
2.5225	-9.2
2.525	-16.8
2.5275	-12.5
2.53	-21.2
2.5325	-30.3
2.535	-27.0
2.5375	-17.4
2.54	-4.9
2.5425	0.9
2.545	6.0
2.5475	9.8
2.55	18.0
2.5525	27.7
2.555	28.7
2.5575	30.7
2.56	42.3
2.5625	47.1
2.565	43.2
2.5675	40.9
2.57	43.9
2.5725	55.5
2.575	45.0
2.5775	32.1
2.58	34.9
2.5825	28.7
2.585	28.6
2.5875	26.9
2.59	20.5
2.5925	14.5
2.595	12.0
2.5975	9.7
2.6	-3.0
2.6025	-11.0
2.605	-8.1
2.6075	-0.4
2.61	-11.1
2.6125	-15.5
2.615	-11.4
2.6175	-17.8
2.62	-18.2
2.6225	-14.8
2.625	-17.0
2.6275	-18.6
2.63	-10.1
2.6325	-5.0
2.635	-5.8
2.6375	-5.2
2.64	5.8
2.6425	9.9
2.645	6.6
2.6475	15.7
